"Обнаружение лесного пожара, дата","Обнаружение лесного пожара, время","Географические координаты места обнаружения пожара, наименование","Географические координаты места обнаружения пожара, азимут, гра-дусы","Широта (градусы, минуты, секунды)","Долгота (градусы, минуты, секунды)","Скорость ветра в районе пожара, в момент обнару-жения, м/с","Площадь пожара, га (в момент обна­ ружения)","Площадь пожара, га (всего)","Площадь пожара, га (лесная)","Площадь пожара, га (покрытая лесной раститель- ностью)",Причина
21.05.2016,16:30:00,д Краснодарка,248,54.21666666666667,73.94,2.0,2.7,7.9,7.9,7.9,с иных категорий
24.05.2016,15:20:00,д Краснодарка,239,54.22472222222222,73.94444444444444,2.0,4.2,7.3,7.3,7.3,с иных категорий
30.04.2016,17:30:00,с Колосовка,154,56.425,73.62083333333334,,0.5,3.3,3.3,3.3,с иных категорий
04.05.2016,00:30:00,д Уразай,275,56.81388888888889,74.82805555555555,3.0,4,14.9,14.9,14.9,с иных категорий
05.05.2016,12:50:00,д Вороновка,272,56.45777777777778,73.72944444444444,3.0,8,19.7,19.7,19.7,с иных категорий
05.05.2016,18:50:00,с Петрово,255,56.9475,74.15388888888889,2.0,0.1,0.4,0.4,0.4,с иных категорий
10.05.2016,12:00:00,с Петрово,190,56.9,74.16666666666667,7.0,0.1,0.2,0.2,0.2,с иных категорий
20.05.2016,15:00:00,д Квашнино,141,56.25083333333333,73.18472222222222,3.0,5,9.8,9.8,3.1,с иных категорий
20.05.2016,18:30:00,с Екатерининское,153,56.89333333333333,74.54694444444445,4.0,0.5,1,1,1,мн
19.05.2016,15:45:00,с Корсино,88,56.58305555555555,74.00888888888889,3.0,0.5,16.7,16.7,16.7,с иных категорий
19.05.2016,15:00:00,п Междуречье,64,56.8125,74.64027777777778,1.0,0.4,1,1,1,мн
21.05.2016,15:30:00,с Корсино,80,56.58416666666667,74.01527777777778,2.0,0.5,2,2,2,с иных категорий
21.05.2016,18:00:00,с Екатерининское,153,56.891666666666666,74.54944444444445,1.0,0.5,1.6,1.6,1.6,мн
23.05.2016,00:30:00,д Уразай,330,56.87611111111111,74.78972222222222,2.0,4.5,23.4,23.4,23.4,мн
24.05.2016,08:30:00,д Уразай,330,56.871944444444445,74.78722222222223,1.0,1,2.5,2.5,2.5,мн
22.06.2016,14:05:00,с Екатерининское,0,56.88638888888889,74.56444444444445,1.0,0.06,0.1,0.1,0.1,мн
13.08.2016,16:00:00,п Атак,45,56.84111111111111,74.70777777777778,1.0,5.6,9.2,9.2,9.2,мн
14.08.2016,11:50:00,д Атачка,48,56.83583333333333,74.71111111111111,3.0,4,7.7,7.7,7.7,мн
19.08.2016,11:25:00,д Поддол,260,57.48388888888889,71.82416666666667,4.0,1.5,1.5,1.5,1.5,мн
03.05.2016,18:50:00,г Тюкалинск,200,55.88388888888889,72.18777777777778,3.0,1.5,2.5,2.5,2.5,с иных категорий
02.10.2016,12:50:00,г Тюкалинск,2,55.515277777777776,72.3025,3.0,0.01,0.6,0.6,0.6,мн
17.04.2016,12:20:00,рп Черлак,35,54.206944444444446,74.87833333333333,4.0,1.8,2.5,2.5,2.5,с иных категорий
18.04.2016,14:10:00,рп Черлак,315,54.106944444444444,74.88388888888889,2.0,2,2.6,2.6,2.6,с иных категорий
01.05.2016,18:40:00,рп Черлак,135,54.131388888888885,74.83333333333333,3.0,0.3,0.5,0.5,0.5,с иных категорий
05.05.2016,15:00:00,д Миргородка,135,54.93611111111111,75.06472222222222,2.0,1.6,4.2,4.2,4.2,с иных категорий
20.05.2016,13:50:00,д Козинка,135,54.144444444444446,75.40555555555555,2.0,2,5.1,5.1,5.1,с иных категорий
07.06.2016,11:40:00,д Народное Береговое,338,53.90277777777778,75.07694444444445,2.0,3,6.7,6.7,6.7,мн
12.05.2016,16:00:00,д Миргородка,15,54.895,75.05055555555556,5.0,3.5,8.8,8.8,8.8,с иных категорий
16.05.2016,14:20:00,с Красный Октябрь,85,54.13111111111111,74.97361111111111,4.0,0.7,1.3,1.3,1.3,с иных категорий
21.05.2016,14:40:00,д Орловка,275,54.72555555555556,75.39555555555556,3.0,7.2,13,13,13,с иных категорий
10.06.2016,12:20:00,д Камышино,280,54.70333333333333,74.82083333333334,4.0,5,18.2,18.2,18.2,с иных категорий
25.05.2016,14:20:00,с Южно-Подольск,20,54.388333333333335,75.0411111111111,2.0,0.4,0.9,0.9,0.9,с иных категорий
01.06.2016,19:20:00,д Народное Степное,250,53.931666666666665,75.20416666666667,3.0,0.1,0.2,0.2,0.2,с иных категорий
23.08.2016,09:50:00,д Васильевка,161,54.86138888888889,75.30916666666667,4.0,0.3,0.4,0.4,0.4,мн
14.08.2016,18:00:00,рп Черлак,339,54.23416666666667,74.69083333333333,2.0,0.05,0.1,0.1,0.1,мн
25.09.2016,18:00:00,ст Черлак,134,75.10444444444444,53.10194444444444,2.0,0.8,3.5,3.5,3.5,с иных категорий
04.05.2017,20:00:00,с Старокарасук,185,55.74305555555556,74.06194444444445,8.0,56,80,40,40,с иных категорий
11.05.2017,14:00:00,д Ростовка,162,55.791111111111114,74.39,6.0,3,6,6,5.2,с иных категорий
12.05.2017,15:01:00,д Ростовка,114,55.80027777777778,74.40416666666667,6.0,2,5,5,5,с иных категорий
15.05.2017,12:20:00,д Чистоозерье,146,55.76888888888889,73.99194444444444,7.0,8,14,14,8,с иных категорий
07.07.2017,00:20:00,с Могильно-Посельское,102,55.90277777777778,74.46583333333334,1.0,0.2,1,1,1,мн
13.05.2017,10:05:00,с Форпост,149,56.76444444444444,72.1925,5.0,3,4,4,4,с иных категорий
